number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_subsample,state
0,0.239915164868583,2025-11-20 18:51:03.786701,2025-11-20 18:51:21.069997,0 days 00:00:17.283296,0.05,5,300,1,0.2989235499451311,0.6,COMPLETE
1,0.2572572667974896,2025-11-20 18:51:21.070183,2025-11-20 18:54:46.551199,0 days 00:03:25.481016,0.3,6,800,2,0.17142485585846384,0.8,COMPLETE
2,0.26416961311573406,2025-11-20 18:54:46.551348,2025-11-20 18:56:23.233799,0 days 00:01:36.682451,0.05,6,800,3,0.06712327999090888,0.8,COMPLETE
3,0.2608065720623012,2025-11-20 18:56:23.233947,2025-11-20 18:57:32.896601,0 days 00:01:09.662654,0.05,5,500,5,0.09493837460068184,0.6,COMPLETE
4,0.25652249992640974,2025-11-20 18:57:32.896738,2025-11-20 18:58:16.913148,0 days 00:00:44.016410,0.05,5,800,5,0.18610436671446084,0.8,COMPLETE
5,0.26116313866007845,2025-11-20 18:58:16.913301,2025-11-20 19:00:23.945748,0 days 00:02:07.032447,0.1,4,800,1,0.05386318463752153,0.8,COMPLETE
6,0.2581872108449783,2025-11-20 19:00:23.945893,2025-11-20 19:01:39.948016,0 days 00:01:16.002123,0.1,5,300,4,0.15216376987981828,0.8,COMPLETE
7,0.2474220591460361,2025-11-20 19:01:39.948172,2025-11-20 19:03:42.248037,0 days 00:02:02.299865,0.3,6,500,3,0.2527535726350293,0.6,COMPLETE
8,0.2536556727842269,2025-11-20 19:03:42.248178,2025-11-20 19:04:02.734258,0 days 00:00:20.486080,0.05,5,300,3,0.15993628357547673,0.8,COMPLETE
9,0.24707025137222163,2025-11-20 19:04:02.734415,2025-11-20 19:04:31.433884,0 days 00:00:28.699469,0.05,4,800,1,0.25653510585893463,0.6,COMPLETE
10,0.2623251428886677,2025-11-20 19:04:31.434031,2025-11-20 19:06:40.350738,0 days 00:02:08.916707,0.1,6,800,4,0.101434128852816,0.8,COMPLETE
11,0.2641515135357114,2025-11-20 19:06:40.350914,2025-11-20 19:09:40.621367,0 days 00:03:00.270453,0.1,6,800,4,0.08864597940213459,0.8,COMPLETE
12,0.26238456144003564,2025-11-20 19:09:40.621514,2025-11-20 19:12:25.906691,0 days 00:02:45.285177,0.1,6,800,4,0.05920489038476712,0.8,COMPLETE
13,0.26040954592038906,2025-11-20 19:12:25.906830,2025-11-20 19:14:11.445265,0 days 00:01:45.538435,0.1,6,800,2,0.11060008927003775,0.8,COMPLETE
14,0.2590900605119709,2025-11-20 19:14:11.445407,2025-11-20 19:17:49.629710,0 days 00:03:38.184303,0.3,6,800,3,0.12647290474527464,ok,COMPLETE
