number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_h1,params_h2,params_lr,params_weight_decay,state
0,0.2959245294332504,2025-11-20 19:38:09.676942,2025-11-20 19:39:20.161936,0 days 00:01:10.484994,256,0.39279757672456206,232,245,0.0010401663679887319,0.0003967605077052988,COMPLETE
1,0.11240416392683983,2025-11-20 19:39:20.162137,2025-11-20 19:40:58.672342,0 days 00:01:38.510205,256,0.10823379771832098,333,191,0.0044447541666908135,3.549878832196506e-06,COMPLETE
2,0.34911711886525154,2025-11-20 19:40:58.672510,2025-11-20 19:42:13.073440,0 days 00:01:14.400930,256,0.2727780074568463,200,150,0.0003124565071260876,1.2562773503807034e-05,COMPLETE
3,0.3230574168264866,2025-11-20 19:42:13.073600,2025-11-20 19:43:08.935816,0 days 00:00:55.862216,1024,0.1798695128633439,268,208,0.000747599299995651,3.247673570627449e-06,COMPLETE
4,0.31080217473208904,2025-11-20 19:43:08.935969,2025-11-20 19:43:46.516521,0 days 00:00:37.580552,1024,0.4862528132298237,93,245,0.0023628864184236428,2.091498132903561e-05,COMPLETE
5,0.06786300614476204,2025-11-20 19:43:46.516672,2025-11-20 19:44:29.996138,0 days 00:00:43.479466,512,0.11375540844608736,118,143,0.0035067764992972213,3.632486956676606e-05,COMPLETE
6,0.29042594507336617,2025-11-20 19:44:29.996283,2025-11-20 19:45:00.742517,0 days 00:00:30.746234,256,0.48783385110582345,309,73,0.002074566765675252,0.0005829384542994739,PRUNED
7,0.3358031716197729,2025-11-20 19:45:00.742648,2025-11-20 19:45:43.546090,0 days 00:00:42.803442,1024,0.11809091556421523,103,76,0.0003570478920909981,1.1756010900231857e-05,COMPLETE
8,0.30178227834403515,2025-11-20 19:45:43.546244,2025-11-20 19:46:41.617213,0 days 00:00:58.070969,512,0.15636968998990508,190,154,0.0023062618121677952,3.945908811099999e-06,COMPLETE
9,0.3188167791813612,2025-11-20 19:46:41.617361,2025-11-20 19:47:07.836987,0 days 00:00:26.219626,256,0.38274293753904687,66,215,0.001732053535845956,2.2264204303769692e-06,PRUNED
10,0.24633891694247723,2025-11-20 19:47:07.837120,2025-11-20 19:47:44.667990,0 days 00:00:36.830870,256,0.24749150908843892,452,33,0.0001072794869496977,9.652310994958389e-05,PRUNED
11,0.32118919491767883,2025-11-20 19:47:44.668135,2025-11-20 19:48:31.480341,0 days 00:00:46.812206,1024,0.2576105243317639,167,105,0.0002473516072800748,1.5324003773120472e-05,COMPLETE
12,0.33913097716867924,2025-11-20 19:48:31.480491,2025-11-20 19:49:16.430979,0 days 00:00:44.950488,1024,0.31792433412058463,157,112,0.000347343192579456,1.0293809558932716e-05,COMPLETE
13,0.2925353292375803,2025-11-20 19:49:16.431121,2025-11-20 19:50:04.207631,0 days 00:00:47.776510,1024,0.3344249884279323,185,139,0.0003521054790675628,7.539291493501038e-05,COMPLETE
14,0.3437811862677336,2025-11-20 19:50:04.207783,2025-11-20 19:51:17.173024,0 days 00:01:12.965241,512,0.3051875354225635,378,107,0.00016741870760760499,1.0580176727883313e-06,COMPLETE
15,0.349626237526536,2025-11-20 19:51:17.173191,2025-11-20 19:52:32.169818,0 days 00:01:14.996627,512,0.24131185692298152,392,169,0.0001251186385636509,1.1990069889833352e-06,COMPLETE
16,0.30209846049547195,2025-11-20 19:52:32.169964,2025-11-20 19:53:20.063730,0 days 00:00:47.893766,512,0.2239314871966043,496,166,0.00010077955034886993,1.2156014411476644e-06,PRUNED
17,0.350495845079422,2025-11-20 19:53:20.063851,2025-11-20 19:54:35.205721,0 days 00:01:15.141870,512,0.21120688915708397,383,173,0.0001583421295085524,6.889515822962897e-06,COMPLETE
18,0.33562746457755566,2025-11-20 19:54:35.205880,2025-11-20 19:55:55.910701,0 days 00:01:20.704821,512,0.2028060018709847,397,182,0.00017355300821233905,6.27836696819178e-06,COMPLETE
19,0.33454629965126514,2025-11-20 19:55:55.910867,2025-11-20 19:57:13.800354,0 days 00:01:17.889487,512,0.18389574179071538,413,218,0.0005762834685393487,1.692975398195251e-06,COMPLETE
20,0.3183040712028742,2025-11-20 19:57:13.800504,2025-11-20 19:58:28.791999,0 days 00:01:14.991495,512,0.36661425572308753,353,191,0.00017961327276067067,7.752927439305499e-06,COMPLETE
21,0.34039638936519623,2025-11-20 19:58:28.792166,2025-11-20 19:59:35.048542,0 days 00:01:06.256376,512,0.2670462354217091,265,172,0.00023912092527814962,3.3978269857882424e-05,COMPLETE
22,0.2819724567234516,2025-11-20 19:59:35.048689,2025-11-20 20:01:15.998660,0 days 00:01:40.949971,256,0.27746715247255094,442,127,0.0001424550738128352,5.686383352903538e-06,COMPLETE
23,-0.02655748277902603,2025-11-20 20:01:15.998811,2025-11-20 20:01:48.403003,0 days 00:00:32.404192,512,0.22834301245868788,503,155,0.0002544315634721055,7.292956373514183e-05,PRUNED
24,0.3414527755230665,2025-11-20 20:01:48.403130,2025-11-20 20:02:47.083230,0 days 00:00:58.680100,512,0.14746481976881454,229,126,0.0006015476990600029,0.0001985683885790522,COMPLETE
25,0.3337581120431423,2025-11-20 20:02:47.083396,2025-11-20 20:04:20.616258,0 days 00:01:33.532862,256,0.2896563498305213,317,169,0.00014144673602396716,2.029844241575733e-05,COMPLETE
26,0.2961260098963976,2025-11-20 20:04:20.616421,2025-11-20 20:05:35.874499,0 days 00:01:15.258078,512,0.34115239674758424,367,204,0.0004448514453646977,2.139647634504815e-06,COMPLETE
27,0.3492565341293812,2025-11-20 20:05:35.874641,2025-11-20 20:07:28.189807,0 days 00:01:52.315166,256,0.4402468530565208,441,224,0.0002211601818133791,4.5007340479706594e-05,COMPLETE
28,0.2904174402356148,2025-11-20 20:07:28.189950,2025-11-20 20:08:01.733054,0 days 00:00:33.543104,512,0.22111224276481112,451,238,0.0001229122380778798,3.260734252451518e-05,PRUNED
29,0.2703309580683708,2025-11-20 20:08:01.733180,2025-11-20 20:08:45.154591,0 days 00:00:43.421411,256,0.4450588707370329,408,256,0.0009578788329788506,0.00020812479192277596,PRUNED
30,0.3491831962019205,2025-11-20 20:08:45.154724,2025-11-20 20:10:09.601848,0 days 00:01:24.447124,512,0.4332334001890299,472,230,0.00021952603268991702,0.0001317113314361533,COMPLETE
31,0.31476746313273907,2025-11-20 20:10:09.601999,2025-11-20 20:11:32.767319,0 days 00:01:23.165320,512,0.42631042340010206,466,239,0.00020050936159680412,0.00014132392595280825,COMPLETE
32,0.3484936635941267,2025-11-20 20:11:32.767462,2025-11-20 20:12:49.501665,0 days 00:01:16.734203,512,0.4270324903704112,426,196,0.00013693317189039075,5.03971943484869e-05,COMPLETE
33,0.32616271264851093,2025-11-20 20:12:49.501820,2025-11-20 20:14:15.288686,0 days 00:01:25.786866,512,0.45095750058488265,478,227,0.00020023715112503602,0.0003405152091619413,COMPLETE
34,0.28345052525401115,2025-11-20 20:14:15.288838,2025-11-20 20:14:58.457773,0 days 00:00:43.168935,256,0.38884769911179656,351,224,0.00028595935118098747,0.0009395783289321928,PRUNED
35,0.33881160616874695,2025-11-20 20:14:58.457925,2025-11-20 20:16:26.601003,0 days 00:01:28.143078,512,0.3547486648818172,382,183,0.0004574212374297755,0.00012638738296025402,COMPLETE
36,0.34565405547618866,2025-11-20 20:16:26.601150,2025-11-20 20:18:17.861953,0 days 00:01:51.260803,256,0.40626640256480734,475,202,0.0002097414626459436,4.768574944389926e-05,COMPLETE
37,0.3437513951212168,2025-11-20 20:18:17.862125,2025-11-20 20:19:35.844100,0 days 00:01:17.981975,512,0.4984077283228885,423,253,0.00012066221036229061,4.0618612950133026e-06,COMPLETE
38,0.2736548725515604,2025-11-20 20:19:35.844246,2025-11-20 20:20:23.281699,0 days 00:00:47.437453,256,0.44895635137736517,510,237,0.00043718435135814795,0.000276194506812622,PRUNED
39,0.32801801711320877,2025-11-20 20:20:23.281818,2025-11-20 20:20:53.345973,0 days 00:00:30.064155,512,0.4691557573464815,436,182,0.0013642270681968195,2.3227764218659888e-05,PRUNED
40,0.2794126346707344,2025-11-20 20:20:53.346095,2025-11-20 20:21:15.104301,0 days 00:00:21.758206,1024,0.18403465596978305,289,215,0.00015068530029454212,5.7608795856602755e-05,PRUNED
41,0.3503748197108507,2025-11-20 20:21:15.104423,2025-11-20 20:22:42.329758,0 days 00:01:27.225335,256,0.2425069396463058,246,150,0.00032434370299225593,1.2751864094319859e-05,COMPLETE
42,0.33648109808564186,2025-11-20 20:22:42.329895,2025-11-20 20:24:10.193105,0 days 00:01:27.863210,256,0.24033034766442277,268,138,0.0002764149586848452,1.6773344085375982e-05,COMPLETE
43,0.26084793359041214,2025-11-20 20:24:10.193257,2025-11-20 20:25:30.342395,0 days 00:01:20.149138,256,0.19813094605008078,221,159,0.00021248947701370269,8.929228953364065e-06,COMPLETE
